code,libellé,obligatoire,longueur,valeur,commentaire,type
type,Type,*,1,C,,
numero_compte,Numéro de compte,*,8,,,
libelle,Libellé,,30,,,
cle_alpha,Clé alpha,,7,,,
montant_debit_n_1,Montant débit N-1,,13,,,
montant_credit_n_1,Montant crédit N-1,,13,,,
montant_debit_n_2,Montant débit N-2,,13,,,
montant_credit_n_2,Montant crédit N-2,,13,,,
compte_collectif,Compte collectif,*,8,,,
adresse_rue1,Adresse rue 1,,30,,,
adresse_rue2,Adresse rue 2,,30,,,
adresse_ville,Adresse ville,,30,,,
telephone,Téléphone,,20,,,
flag_maj,Flag « Mise à jour si existant »,,1,,"vide (pas de maj), 1 (maj complete), 2 (maj clé alpha, adresse, collectif, RIB), 3 (maj clé alpha, adresse)",
type_compte,Type de compte,*,1,,"C (client), F (fournisseur), G (général)",
compte_a_centraliser,Compte à centraliser,,1,,O ou N,
domiciliation_bancaire,Domiciliation bancaire,,30,,,
rib,RIB,,30,,,
mode_reglement,Mode de règlement (2 positions),,2,,,
nombre_jours_echeance,Nombre de jours d’échéance (2 positions),,2,,,
terme_echeance,Terme échéance le XX,,2,,,
depart_calcul_echeance,Départ calcul échance le XX,,2,,,
code_tva,Code TVA (2 caractères),,2,,,
compte_contrepartie,Compte de contrepartie,,8,,,
nombre_jours_echeance3,Nombre de jours d’échéance (3 positions),,3,,,
flag_tva,Flag « TVA encaissement » ou « TVA décaissement »,,1,,,
fax,Fax,,20,,,
mode_reglement4,Mode de règlement (4 positions),,4,,,
groupe4,Groupe 4,,8,,,
siret,SIRET,,14,,,
edit_m2,Edit M2,,1,,,
profession,Profession,,30,,,
pays,Pays,,50,,,
code_journal_tresorerie,Code journal de trésorerie,,3,,,
personne_morale,Personne morale,,1,,,
bon_a_payer,Bon à payer,,1,,,
iban,IBAN,,4,,,
bic,BIC,,11,,,
code_imputation_frais,Code imputation frais,,2,,"13=bénéficiaire, 14=émetteur et bénéficiaire, 15=émetteur",
numero_mandat_prelevement,Numéro de prélèvement SEPA,,3,,,
