code,libellé,obligatoire,longueur,valeur,commentaire,type
type,Type,*,1,R,,
date_echeance,Date échéance,,6,,,
montant_echeance,Montant échéance,,8,,,
mode_reglement,Mode de règlement,,2,,,
code_journal,Code journal banque,,2,,,
reference_tire,Référence tiré,,10,,,
rib_tire,RIB du tiré,,23,,,
domiciliation_bancaire,Domiciliation bancaire,,20,,,
code_journal_,Code journal banque,,3,,,
compte_origine,Numéro de compte origine,,8,,,
mode_reglement,Mode de règlement,,4,,,
bon_a_payer,Bon à payer,,1,,,
iban,IBAN,,4,,,
bic,BIC,,11,,,
numero_mandat,Numéro du mandat de prélèvement SEPA,,3,,,
