id,cheflieu,tncc,nom,alias
01,97105,3,Guadeloupe,
02,97209,3,Martinique,
03,97302,3,Guyane,
04,97411,0,La Réunion,Réunion
06,97608,0,Mayotte,
11,75056,1,Île-de-France,IDF
24,45234,2,Centre-Val de Loire,Centre
27,21231,0,Bourgogne-Franche-Comté,Bourgogne/Franche-Comté
28,76540,0,Normandie,
32,59350,4,Hauts-de-France,Nord
44,67482,2,Grand Est,
52,44109,4,Pays de la Loire,
53,35238,0,Bretagne,
75,33063,3,Nouvelle-Aquitaine,Aquitaine
76,31555,1,Occitanie,
84,69123,1,Auvergne-Rhône-Alpes,
93,13055,0,Provence-Alpes-Côte d'Azur,PACA
94,2A004,0,Corse,
