name,start_time,end_time,published,location_name,location_zip,location_address1,location_address2,location_country
L’Insoumis Francis Daspe dédicace à Céret son « Antidote au parler macronien »,1544866200.0,1544871600.0,True,"Librairie ""Le cheval dans l'arbre""",66400,26 boulevard Maréchal Joffre,66400,FR
Apéro des Insoumis du Pays Trestois,1545213600.0,1545220800.0,True,Café de la Renaissance,13530,15,Bd de la République,FR
Apéro des Insoumis du Pays Trestois,1544608800.0,1544616000.0,True,Café de la Renaissance,13530,15,Bd de la République,FR
"Le référendum d'initiative citoyenne, c'est maintenant ! #RIC",1544482800.0,1544828400.0,True,Affichage public mairie,76116,Grande rue,,FR
Réunion mensuelle du GA,1544549400.0,1544554800.0,True,Café des Sports,75019,218 rue de Crimée,,FR
Réunion du groupe FI,1544722200.0,1544729400.0,True,Salle Garibaldi,34500,2 rue Rampe du 96ème Régiment d'Infanterie,,FR
AG des membres de la France Insoumise 04,1545152400.0,1545163200.0,True,Maison du Peuple,04220,Place Jules Guesde,,FR
réunion GA 6ème insoumis,1544637600.0,1544644800.0,True,rue Lt-colonel Prévost,69006,33 rue Lt-colonel Prévost,,FR
Retour sur la Convention et perspectives locales,1544641200.0,1544648400.0,True,Le Formidable,94800,49 avenue de Paris,,FR
Manuel Bompard invité sur Cnews,1544464800.0,1544466600.0,True,,,,,
Atelier des lois : Europe et dérèglement climatique.,1544724000.0,1544736600.0,True,École Henri Barbusse,94110,15 avenue Paul Doumer,,FR
Réunion du groupe Actions en commun,1545159600.0,1545159600.0,True,119bis Avenue Général Leclerc,87100,119bis Avenue Général Leclerc,87100,FR
comitéd'appui entre lac et montagne,1544545800.0,1546711200.0,True,les prés,74890,chemin des  prés,,FR
Réunion d'activité du Comité d'Appui de Limoges,1546626600.0,1546635600.0,True,Salle Jean-Pierre Timbaud,87100,Parking de l’Hôtel de Ville,87100,FR
Les insoumis de Loos font leur marché,1544950800.0,1544958000.0,True,Marché de LOOS,59120,Rue du Général Leclercq,,FR
